textBox36,textBox33,textBox35,textBox34,textBox30,textBox29,textBox32,textBox31,textBox37
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","76.622,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","19.661,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1399132,INV-001133170,TOTAL,"59.999,00","59.999,00","20.000,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399132,INV-001133170,TOTAL,"59.999,00","59.999,00","0,00","20.000,00",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399132,INV-001133170,TOTAL,"59.999,00","59.999,00","0,00","39.999,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399132,INV-001133170,TOTAL,"59.999,00","59.999,00","38.109,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399132,INV-001133170,TOTAL,"59.999,00","59.999,00","1.890,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","23.991,62","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","0,00","23.991,62",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","0,00","50.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","34.449,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","7.001,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","6.800,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1398838,INV-001132944,TOTAL,"142.800,48","142.800,48","36.800,48","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398838,INV-001132944,TOTAL,"142.800,48","142.800,48","0,00","36.800,48",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398838,INV-001132944,TOTAL,"142.800,48","142.800,48","0,00","106.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398838,INV-001132944,TOTAL,"142.800,48","142.800,48","63.848,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398838,INV-001132944,TOTAL,"142.800,48","142.800,48","28.002,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398838,INV-001132944,TOTAL,"142.800,48","142.800,48","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1398838,INV-001132944,TOTAL,"142.800,48","142.800,48","12.400,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1398838,INV-001132944,TOTAL,"142.800,48","142.800,48","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1400561,INV-001134150,TOTAL,"151.968,26","151.968,26","52.970,26","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1400561,INV-001134150,TOTAL,"151.968,26","151.968,26","0,00","52.970,26",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1400561,INV-001134150,TOTAL,"151.968,26","151.968,26","0,00","98.998,00",4-4000 - Penjualan
30 Apr 2026,GJ-1400561,INV-001134150,TOTAL,"151.968,26","151.968,26","92.911,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1400561,INV-001134150,TOTAL,"151.968,26","151.968,26","6.087,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398896,INV-001132988,TOTAL,"59.999,00","59.999,00","20.000,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398896,INV-001132988,TOTAL,"59.999,00","59.999,00","0,00","20.000,00",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398896,INV-001132988,TOTAL,"59.999,00","59.999,00","0,00","39.999,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398896,INV-001132988,TOTAL,"59.999,00","59.999,00","39.295,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398896,INV-001132988,TOTAL,"59.999,00","59.999,00","704,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399134,INV-001133172,TOTAL,"59.999,00","59.999,00","20.000,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399134,INV-001133172,TOTAL,"59.999,00","59.999,00","0,00","20.000,00",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399134,INV-001133172,TOTAL,"59.999,00","59.999,00","0,00","39.999,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399134,INV-001133172,TOTAL,"59.999,00","59.999,00","38.313,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399134,INV-001133172,TOTAL,"59.999,00","59.999,00","1.686,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398795,INV-001132901,TOTAL,"187.990,35","187.990,35","64.993,35","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398795,INV-001132901,TOTAL,"187.990,35","187.990,35","0,00","64.993,35",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398795,INV-001132901,TOTAL,"187.990,35","187.990,35","0,00","122.997,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398795,INV-001132901,TOTAL,"187.990,35","187.990,35","120.517,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398795,INV-001132901,TOTAL,"187.990,35","187.990,35","2.480,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399755,INV-001133607,TOTAL,"94.824,00","94.824,00","31.636,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399755,INV-001133607,TOTAL,"94.824,00","94.824,00","0,00","31.636,00",1-1200 - Persediaan Barang
